"titulo" "estrato.antigo" "qIF" "estrato.novo" "pontos"
"941" "Anais da Academia Brasileira de Ciencias" "B2" 79 "A2" 55
"942" "Analytical Sciences" "B2" 42 "B1" 55
"943" "Anatomical Record" "B2" 57 "A4" 55
"944" "Andrologia" "B2" 70 "A3" 55
"945" "Animal Biodiversity and Conservation" "B2" 45 "B1" 55
"946" "Animal Biology" "B2" 51 "A4" 55
"947" "Animal Genetics" "B2" 80 "A2" 55
"948" "Animal Reproduction Science" "B2" 82 "A2" 55
"949" "Animal Science Journal" "B2" 71 "A3" 55
"950" "Annales de la Societe Entomologique de France" "B2" 43 "B1" 55
"951" "Annales de Limnologie" "B2" 38 "B1" 55
"952" "Annales de Paleontologie" "B2" 35 "B2" 55
"953" "Annals of Anatomy" "B2" 70 "A3" 55
"954" "Annals of Human Genetics" "B2" 26 "B2" 55
"955" "Annals of Nuclear Energy" "B2" 74 "A3" 55
"956" "Anthropology of Consciousness" "B2" 63 "A3" 55
"957" "Anti-Cancer Drugs" "B2" 55 "A4" 55
"958" "Antonie van Leeuwenhoek" "B2" 38 "B1" 55
"959" "Applications in Plant Sciences" "B2" 60 "A4" 55
"960" "Applied Animal Behaviour Science" "B2" 86 "A2" 55
"961" "Applied Biochemistry and Biotechnology" "B2" 59 "A4" 55
"962" "Applied Ecology and Environmental Research" "B2" 42 "B1" 55
"963" "Applied Radiation and Isotopes" "B2" 54 "A4" 55
"964" "Aquaculture, Economics and Management" "B2" 92 "A1" 55
"965" "Aquatic Biology" "B2" 59 "A4" 55
"966" "Aquatic Geochemistry" "B2" 55 "A4" 55
"967" "Aquatic Mammals" "B2" 39 "B1" 55
"968" "Arabian Journal of Chemistry" "B2" 82 "A2" 55
"969" "Archives Animal Breeding" "B2" 57 "A4" 55
"970" "Archives of Agronomy and Soil Science" "B2" 73 "A3" 55
"971" "Archives of Gynecology and Obstetrics" "B2" 68 "A3" 55
"972" "Archives of Microbiology" "B2" 35 "B2" 55
"973" "Archives of Virology" "B2" 43 "B1" 55
"974" "Ardeola" "B2" 61 "A4" 55
"975" "Asian Pacific Journal of Tropical Biomedicine" "B2" 56 "A4" 55
"976" "Australian Systematic Botany" "B2" 68 "A3" 55
"977" "Behavioural Pharmacology" "B2" 63 "A3" 55
"978" "Biochemical and Biophysical Research Communications" "B2" 74 "A3" 55
"979" "Biochimie" "B2" 68 "A3" 55
"980" "Bioenergy Research" "B2" 85 "A2" 55
"981" "Biological Agriculture and Horticulture" "B2" 79 "A2" 55
"982" "Biological Research" "B2" 88 "A1" 55
"983" "Biological Trace Element Research" "B2" 68 "A3" 55
"984" "Biology and Philosophy" "B2" 95 "A1" 55
"985" "BioMed Research International" "B2" 70 "A3" 55
"986" "Biomedicine and Pharmacotherapy" "B2" 83 "A2" 55
"987" "BioMetals" "B2" 86 "A2" 55
"988" "Bioorganic and Medicinal Chemistry Letters" "B2" 74 "A3" 55
"989" "Biopolymers" "B2" 50 "B1" 55
"990" "Bioprocess and Biosystems Engineering" "B2" 66 "A3" 55
"991" "BioResources" "B2" 55 "A4" 55
"992" "Bioscience, Biotechnology and Biochemistry" "B2" 41 "B1" 55
"993" "Biota Neotropica" "B2" 52 "A4" 55
"994" "Biotechnology Letters" "B2" 61 "A4" 55
"995" "Blumea: Journal of Plant Taxonomy and Plant Geography" "B2" 40 "B1" 55
"996" "BMC Bioinformatics" "B2" 89 "A1" 55
"997" "BMC Developmental Biology" "B2" 66 "A3" 55
"998" "BMC Gastroenterology" "B2" 77 "A2" 55
"999" "BMC Genetics" "B2" 57 "A4" 55
"1000" "BMC International Health and Human Rights" "B2" 76 "A2" 55
"1001" "BMC Medical Genetics" "B2" 39 "B1" 55
"1002" "BMC Physiology" "B2" 63 "A3" 55
"1003" "BMC Veterinary Research" "B2" 91 "A1" 55
"1004" "Botanical Studies" "B2" 71 "A3" 55
"1005" "Bragantia" "B2" 67 "A3" 55
"1006" "Brittonia" "B2" 40 "B1" 55
"1007" "Bulletin of Environmental Contamination and Toxicology" "B2" 50 "B1" 55
"1008" "Cahiers de Biologie Marine" "B2" 18 "B3" 55
"1009" "Canadian Entomologist" "B2" 57 "A4" 55
"1010" "Canadian Journal of Physiology and Pharmacology" "B2" 50 "B1" 55
"1011" "Cancer genetics" "B2" 49 "B1" 55
"1012" "Carbon Management" "B2" 60 "A4" 55
"1013" "Caryologia" "B2" 62 "A4" 55
"1014" "Cell and Tissue Research" "B2" 85 "A2" 55
"1015" "Cellular Immunology" "B2" 61 "A4" 55
"1016" "Chelonian Conservation and Biology" "B2" 47 "B1" 55
"1017" "Chemical Papers" "B2" 57 "A4" 55
"1018" "Chemico-Biological Interactions" "B2" 82 "A2" 55
"1019" "Chemistry Central Journal" "B2" 68 "A3" 55
"1020" "Chromosome Research" "B2" 51 "A4" 55
"1021" "Ciencia e Agrotecnologia" "B2" 67 "A3" 55
"1022" "Ciencias Marinas" "B2" 32 "B2" 55
"1023" "Climate Research" "B2" 78 "A2" 55
"1024" "Clinical Trials" "B2" 44 "B1" 55
"1025" "Coleopterists Bulletin" "B2" 20 "B3" 55
"1026" "Community Ecology" "B2" 45 "B1" 55
"1027" "Comparative Immunology, Microbiology and Infectious Diseases" "B2" 89 "A1" 55
"1028" "Comparative Parasitology" "B2" 17 "B3" 55
"1029" "Comptes Rendus - Biologies" "B2" 77 "A2" 55
"1030" "Computational and Theoretical Chemistry" "B2" 46 "B1" 55
"1031" "Computational Statistics and Data Analysis" "B2" 73 "A3" 55
"1032" "Computers in Biology and Medicine" "B2" 75 "A3" 55
"1033" "Conservation and Society" "B2" 70 "A3" 55
"1034" "Crustaceana" "B2" 29 "B2" 55
"1035" "Crustaceana Monographs" "B2" 0 NA 55
"1036" "Cryobiology" "B2" 83 "A2" 55
"1037" "Cryptogamie, Mycologie" "B2" 70 "A3" 55
"1038" "Current Analytical Chemistry" "B2" 25 "B3" 55
"1039" "Current Drug Delivery" "B2" 54 "A4" 55
"1040" "Current Microbiology" "B2" 40 "B1" 55
"1041" "Current Pharmaceutical Biotechnology" "B2" 53 "A4" 55
"1042" "Current Protein and Peptide Science" "B2" 30 "B2" 55
"1043" "Cybium" "B2" 32 "B2" 55
"1044" "Cytokine" "B2" 84 "A2" 55
"1045" "Database : the journal of biological databases and curation" "B2" 93 "A1" 55
"1046" "Dendrochronologia" "B2" 80 "A2" 55
"1047" "Development Growth and Differentiation" "B2" 30 "B2" 55
"1048" "Developmental Dynamics" "B2" 53 "A4" 55
"1049" "Diagnostic Microbiology and Infectious Disease" "B2" 62 "A4" 55
"1050" "Digestive Diseases and Sciences" "B2" 68 "A3" 55
"1051" "Diseases of the Esophagus" "B2" 64 "A3" 55
"1052" "Drug and Chemical Toxicology" "B2" 68 "A3" 55
"1053" "Drug Design, Development and Therapy" "B2" 82 "A2" 55
"1054" "Dynamics of Atmospheres and Oceans" "B2" 62 "A4" 55
"1055" "EcoHealth" "B2" 71 "A3" 55
"1056" "Ecohydrology and Hydrobiology" "B2" 61 "A4" 55
"1057" "Ecologia Austral" "B2" 30 "B2" 55
"1058" "Ecological Complexity" "B2" 69 "A3" 55
"1059" "Ecological Informatics" "B2" 89 "A1" 55
"1060" "Edinburgh Journal of Botany" "B2" 34 "B2" 55
"1061" "Electronic Journal of Biotechnology" "B2" 65 "A3" 55
"1062" "eLife" "B2" 92 "A1" 55
"1063" "Emerging Themes in Epidemiology" "B2" 56 "A4" 55
"1064" "Energies" "B2" 91 "A1" 55
"1065" "Entomologia Generalis" "B2" 93 "A1" 55
"1066" "Entomological News" "B2" 15 "B3" 55
"1067" "Environment" "B2" 53 "A4" 55
"1068" "Environment, Development and Sustainability" "B2" 79 "A2" 55
"1069" "Environmental Chemistry Letters" "B2" 79 "A2" 55
"1070" "Environmental Education Research" "B2" 90 "A1" 55
"1071" "Environmental Microbiology Reports" "B2" 84 "A2" 55
"1072" "Environmental Monitoring and Assessment" "B2" 78 "A2" 55
"1073" "Epilepsy and Behavior" "B2" 66 "A3" 55
"1074" "Ethnobiology Letters" "B2" 73 "A3" 55
"1075" "European Biophysics Journal" "B2" 54 "A4" 55
"1076" "European Food Research and Technology" "B2" 74 "A3" 55
"1077" "European Journal of Forest Research" "B2" 87 "A2" 55
"1078" "European Journal of Medical Genetics" "B2" 46 "B1" 55
"1079" "European Journal of Mineralogy" "B2" 47 "B1" 55
"1080" "European Journal of Protistology" "B2" 49 "B1" 55
"1081" "European Journal of Taxonomy" "B2" 47 "B1" 55
"1082" "European Physical Journal B" "B2" 51 "A4" 55
"1083" "Experimental Agriculture" "B2" 68 "A3" 55
"1084" "Experimental and Toxicologic Pathology" "B2" 70 "A3" 55
"1085" "Experimental Parasitology" "B2" 54 "A4" 55
"1086" "Feddes Repertorium" "B2" 37 "B2" 55
"1087" "FEMS Yeast Research" "B2" 67 "A3" 55
"1088" "Floresta e Ambiente" "B2" 40 "B1" 55
"1089" "Fluid Phase Equilibria" "B2" 76 "A2" 55
"1090" "Folia Parasitologica" "B2" 31 "B2" 55
"1091" "Folia Primatologica" "B2" 62 "A4" 55
"1092" "Food Additives and Contaminants - Part A Chemistry, Analysis, Control, Exposure and Risk Assessment" "B2" 77 "A2" 55
"1093" "Food and Bioproducts Processing" "B2" 87 "A2" 55
"1094" "Food Engineering Reviews" "B2" 91 "A1" 55
"1095" "Food Reviews International" "B2" 89 "A1" 55
"1096" "Food Security" "B2" 91 "A1" 55
"1097" "Forensic Science, Medicine, and Pathology" "B2" 43 "B1" 55
"1098" "Forests" "B2" 85 "A2" 55
"1099" "Frontiers in Aging Neuroscience" "B2" 80 "A2" 55
"1100" "Frontiers in Behavioral Neuroscience" "B2" 85 "A2" 55
"1101" "Frontiers in Bioscience - Landmark" "B2" 67 "A3" 55
"1102" "Frontiers in Cellular and Infection Microbiology" "B2" 86 "A2" 55
"1103" "Frontiers in Genetics" "B2" 77 "A2" 55
"1104" "Frontiers in Immunology" "B2" 85 "A2" 55
"1105" "Frontiers in Neuroscience" "B2" 80 "A2" 55
"1106" "Frontiers in Pharmacology" "B2" 89 "A1" 55
"1107" "Fruits" "B2" 62 "A4" 55
"1108" "Functional and Integrative Genomics" "B2" 74 "A3" 55
"1109" "G3: Genes, Genomes, Genetics" "B2" 59 "A4" 55
"1110" "Gene" "B2" 57 "A4" 55
"1111" "General and Comparative Endocrinology" "B2" 92 "A1" 55
"1112" "Genesis" "B2" 42 "B1" 55
"1113" "Genomics" "B2" 61 "A4" 55
"1114" "Geobios" "B2" 63 "A3" 55
"1115" "Geological Journal" "B2" 74 "A3" 55
"1116" "Geological Society Special Publication" "B2" 73 "A3" 55
"1117" "GFF" "B2" 58 "A4" 55
"1118" "Global Ecology and Conservation" "B2" 87 "A2" 55
"1119" "Global Environmental Politics" "B2" 97 "A1" 55
"1120" "Global Health Action" "B2" 75 "A3" 55
"1121" "Grana" "B2" 52 "A4" 55
"1122" "Helgoland Marine Research" "B2" 60 "A4" 55
"1123" "Helminthologia" "B2" 43 "B1" 55
"1124" "Herpetological Conservation and Biology" "B2" 50 "B1" 55
"1125" "Herpetological Journal" "B2" 62 "A4" 55
"1126" "Herpetological Review" "B2" 2 "B4" 55
"1127" "Herpetology Notes" "B2" 33 "B2" 55
"1128" "Histochemistry and Cell Biology" "B2" 83 "A2" 55
"1129" "Historical Biology" "B2" 68 "A3" 55
"1130" "Hormone and Metabolic Research" "B2" 59 "A4" 55
"1131" "Human and Ecological Risk Assessment (HERA)" "B2" 57 "A4" 55
"1132" "Human and Experimental Toxicology" "B2" 52 "A4" 55
"1133" "Human Immunology" "B2" 36 "B2" 55
"1134" "IAWA Journal" "B2" 84 "A2" 55
"1135" "Ichnos" "B2" 56 "A4" 55
"1136" "IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing" "B2" 84 "A2" 55
"1137" "Iheringia - Serie Zoologia" "B2" 35 "B2" 55
"1138" "Immunobiology" "B2" 73 "A3" 55
"1139" "Inflammation" "B2" 60 "A4" 55
"1140" "Inflammation Research" "B2" 69 "A3" 55
"1141" "Inflammopharmacology" "B2" 83 "A2" 55
"1142" "Infrared Physics and Technology" "B2" 73 "A3" 55
"1143" "Integrated Environmental Assessment and Management" "B2" 79 "A2" 55
"1144" "Interciencia" "B2" 30 "B2" 55
"1145" "International Forestry Review" "B2" 67 "A3" 55
"1146" "International Journal of Acarology" "B2" 61 "A4" 55
"1147" "International Journal of Astrobiology" "B2" 58 "A4" 55
"1148" "International Journal of Biodiversity Science, Ecosystems Services and Management" "B2" 71 "A3" 55
"1149" "International Journal of Biometeorology" "B2" 79 "A2" 55
"1150" "International Journal of COPD" "B2" 93 "A1" 55
"1151" "International Journal of Dermatology" "B2" 52 "A4" 55
"1152" "International Journal of Developmental Biology" "B2" 25 "B3" 55
"1153" "International Journal of Educational Management" "B2" 72 "A3" 55
"1154" "International Journal of Electrochemical Science" "B2" 37 "B2" 55
"1155" "International Journal of Food Properties" "B2" 56 "A4" 55
"1156" "International Journal of Impotence Research" "B2" 59 "A4" 55
"1157" "International Journal of Laboratory Hematology" "B2" 52 "A4" 55
"1158" "International Journal of Medicinal Mushrooms" "B2" 39 "B1" 55
"1159" "International Journal of Microbiology" "B2" 65 "A3" 55
"1160" "International Journal of Pest Management" "B2" 55 "A4" 55
"1161" "International Journal of Phytoremediation" "B2" 81 "A2" 55
"1162" "International Journal of Sediment Research" "B2" 74 "A3" 55
"1163" "International Journal of Speleology" "B2" 64 "A3" 55
"1164" "International Journal of Sustainable Development and World Ecology" "B2" 86 "A2" 55
"1165" "International Journal of Systematic and Evolutionary Microbiology" "B2" 69 "A3" 55
"1166" "International Journal of Tropical Insect Science" "B2" 44 "B1" 55
"1167" "International Zoo Yearbook" "B2" 36 "B2" 55
"1168" "Invertebrate Reproduction and Development" "B2" 64 "A3" 55
"1169" "JAOCS, Journal of the American Oil Chemists' Society" "B2" 64 "A3" 55
"1170" "Japan Agricultural Research Quarterly" "B2" 35 "B2" 55
"1171" "Journal of Advanced Research" "B2" 95 "A1" 55
"1172" "Journal of Applied Animal Welfare Science" "B2" 76 "A2" 55
"1173" "Journal of Applied Aquaculture" "B2" 35 "B2" 55
"1174" "Journal of Applied Botany and Food Quality" "B2" 57 "A4" 55
"1175" "Journal of Applied Microbiology" "B2" 68 "A3" 55
"1176" "Journal of Arachnology" "B2" 61 "A4" 55
"1177" "Journal of Asia-Pacific Entomology" "B2" 57 "A4" 55
"1178" "Journal of Atmospheric Chemistry" "B2" 50 "B1" 55
"1179" "Journal of Basic Microbiology" "B2" 46 "B1" 55
"1180" "Journal of Biochemistry" "B2" 48 "B1" 55
"1181" "Journal of Bioeconomics" "B2" 58 "A4" 55
"1182" "Journal of Biomaterials Science, Polymer Edition" "B2" 55 "A4" 55
"1183" "Journal of Bryology" "B2" 53 "A4" 55
"1184" "Journal of Cancer" "B2" 67 "A3" 55
"1185" "Journal of Chemical Neuroanatomy" "B2" 21 "B3" 55
"1186" "Journal of Coastal Conservation" "B2" 54 "A4" 55
"1187" "Journal of Computational and Theoretical Nanoscience" "B2" 15 "B3" 55
"1188" "Journal of Conchology" "B2" 15 "B3" 55
"1189" "Journal of Electron Spectroscopy and Related Phenomena" "B2" 59 "A4" 55
"1190" "Journal of Environmental Education" "B2" 92 "A1" 55
"1191" "Journal of Environmental Informatics" "B2" 87 "A2" 55
"1192" "Journal of Environmental Science and Health - Part B Pesticides, Food Contaminants, and Agricultural Wastes" "B2" 37 "B2" 55
"1193" "Journal of Ethology" "B2" 64 "A3" 55
"1194" "Journal of Fluorescence" "B2" 89 "A1" 55
"1195" "Journal of Food Protection" "B2" 61 "A4" 55
"1196" "Journal of Food Science and Technology" "B2" 76 "A2" 55
"1197" "Journal of Forensic and Legal Medicine" "B2" 84 "A2" 55
"1198" "Journal of Forensic Sciences" "B2" 53 "A4" 55
"1199" "Journal of Forest Research" "B2" 55 "A4" 55
"1200" "Journal of Freshwater Ecology" "B2" 37 "B2" 55
"1201" "Journal of Histochemistry and Cytochemistry" "B2" 73 "A3" 55
"1202" "Journal of Horticultural Science and Biotechnology" "B2" 63 "A3" 55
"1203" "Journal of Hymenoptera Research" "B2" 47 "B1" 55
"1204" "Journal of Infection and Public Health" "B2" 72 "A3" 55
"1205" "Journal of Inflammation" "B2" 66 "A3" 55
"1206" "Journal of Insect Behavior" "B2" 49 "B1" 55
"1207" "Journal of Insect Science" "B2" 66 "A3" 55
"1208" "Journal of Liposome Research" "B2" 66 "A3" 55
"1209" "Journal of Marine Science and Technology" "B2" 80 "A2" 55
"1210" "Journal of Materials Science: Materials in Medicine" "B2" 66 "A3" 55
"1211" "Journal of Medical Primatology" "B2" 53 "A4" 55
"1212" "Journal of Medical Virology" "B2" 57 "A4" 55
"1213" "Journal of Medicinal Food" "B2" 59 "A4" 55
"1214" "Journal of Membrane Biology" "B2" 46 "B1" 55
"1215" "Journal of Microbiological Methods" "B2" 48 "B1" 55
"1216" "Journal of Microbiology and Biotechnology" "B2" 56 "A4" 55
"1217" "Journal of Microencapsulation" "B2" 61 "A4" 55
"1218" "Journal of Molecular Catalysis - B Enzymatic" "B2" 66 "A3" 55
"1219" "Journal of Molecular Endocrinology" "B2" 82 "A2" 55
"1220" "Journal of Molecular Graphics and Modelling" "B2" 66 "A3" 55
"1221" "Journal of Molecular Modeling" "B2" 54 "A4" 55
"1222" "Journal of Molecular Neuroscience" "B2" 33 "B2" 55
"1223" "Journal of Molecular Structure" "B2" 61 "A4" 55
"1224" "Journal of Nanobiotechnology" "B2" 96 "A1" 55
"1225" "Journal of Nanoparticle Research" "B2" 69 "A3" 55
"1226" "Journal of Natural History" "B2" 36 "B2" 55
"1227" "Journal of Natural Medicines" "B2" 79 "A2" 55
"1228" "Journal of Orthoptera Research" "B2" 37 "B2" 55
"1229" "Journal of Parasitology" "B2" 47 "B1" 55
"1230" "Journal of Petroleum Science and Engineering" "B2" 91 "A1" 55
"1231" "Journal of Plant Interactions" "B2" 77 "A2" 55
"1232" "Journal of Plant Pathology" "B2" 19 "B3" 55
"1233" "Journal of Porous Materials" "B2" 67 "A3" 55
"1234" "Journal of Raptor Research" "B2" 48 "B1" 55
"1235" "Journal of Seed Science" "B2" 45 "B1" 55
"1236" "Journal of Structural Biology" "B2" 75 "A3" 55
"1237" "Journal of Sustainable Forestry" "B2" 66 "A3" 55
"1238" "Journal of Systematics and Evolution" "B2" 94 "A1" 55
"1239" "Journal of the Botanical Research Institute of Texas" "B2" 11 "B4" 55
"1240" "Journal of the Brazilian Chemical Society" "B2" 54 "A4" 55
"1241" "Journal of the Kansas Entomological Society" "B2" 18 "B3" 55
"1242" "Journal of the Torrey Botanical Society" "B2" 43 "B1" 55
"1243" "Journal of Thermal Analysis and Calorimetry" "B2" 71 "A3" 55
"1244" "Journal of Trace Elements in Medicine and Biology" "B2" 81 "A2" 55
"1245" "Journal of Tropical Forest Science" "B2" 44 "B1" 55
"1246" "Journal of Veterinary Dentistry" "B2" 45 "B1" 55
"1247" "Journal of Visualized Experiments" "B2" 53 "A4" 55
"1248" "Kew Bulletin" "B2" 39 "B1" 55
"1249" "Korean Journal of Chemical Engineering" "B2" 72 "A3" 55
"1250" "Lake and Reservoir Management" "B2" 46 "B1" 55
"1251" "Lakes and Reservoirs: Research and Management" "B2" 37 "B2" 55
"1252" "Landscape Research" "B2" 68 "A3" 55
"1253" "Latin American Journal of Aquatic Research" "B2" 33 "B2" 55
"1254" "Letters in Applied Microbiology" "B2" 49 "B1" 55
"1255" "Lichenologist" "B2" 48 "B1" 55
"1256" "Lighting Research and Technology" "B2" 69 "A3" 55
"1257" "Limnetica" "B2" 39 "B1" 55
"1258" "Limnologica" "B2" 69 "A3" 55
"1259" "Limnology" "B2" 62 "A4" 55
"1260" "Lipids" "B2" 55 "A4" 55
"1261" "Local Environment" "B2" 84 "A2" 55
"1262" "Mammalia" "B2" 51 "A4" 55
"1263" "Management of Environmental Quality" "B2" 53 "A4" 55
"1264" "Marine and Coastal Fisheries" "B2" 60 "A4" 55
"1265" "Marine and Freshwater Behaviour and Physiology" "B2" 47 "B1" 55
"1266" "Marine Genomics" "B2" 61 "A4" 55
"1267" "Marine Ornithology" "B2" 41 "B1" 55
"1268" "Mechanisms of Development" "B2" 39 "B1" 55
"1269" "Medical and Biological Engineering and Computing" "B2" 66 "A3" 55
"1270" "Memoirs of Museum Victoria" "B2" 59 "A4" 55
"1271" "Memoirs of the Queensland Museum" "B2" 14 "B3" 55
"1272" "Microbes and Infection" "B2" 65 "A3" 55
"1273" "Microbial Pathogenesis" "B2" 69 "A3" 55
"1274" "Microscopy Research and Technique" "B2" 53 "A4" 55
"1275" "Microvascular Research" "B2" 80 "A2" 55
"1276" "Mini-Reviews in Organic Chemistry" "B2" 26 "B2" 55
"1277" "Molecular and Biochemical Parasitology" "B2" 53 "A4" 55
"1278" "Molecular Biology Reports" "B2" 44 "B1" 55
"1279" "Molecular Biotechnology" "B2" 51 "A4" 55
"1280" "Molecular Genetics and Genomics" "B2" 59 "A4" 55
"1281" "Molecular Syndromology" "B2" 32 "B2" 55
"1282" "Molluscan Research" "B2" 47 "B1" 55
"1283" "Mutagenesis" "B2" 79 "A2" 55
"1284" "Mutation Research - Genetic Toxicology and Environmental Mutagenesis" "B2" 58 "A4" 55
"1285" "Mycological Progress" "B2" 69 "A3" 55
"1286" "Mycoscience" "B2" 50 "B1" 55
"1287" "Mycotaxon" "B2" 26 "B2" 55
"1288" "Natural Resources Forum" "B2" 65 "A3" 55
"1289" "Nematropica" "B2" 16 "B3" 55
"1290" "Neotropical Entomology" "B2" 51 "A4" 55
"1291" "Neotropical Ichthyology" "B2" 51 "A4" 55
"1292" "Neuroscience Letters" "B2" 48 "B1" 55
"1293" "Neurotoxicology and Teratology" "B2" 75 "A3" 55
"1294" "New Zealand Journal of Botany" "B2" 44 "B1" 55
"1295" "New Zealand Journal of Forestry Science" "B2" 62 "A4" 55
"1296" "Nordic Journal of Botany" "B2" 47 "B1" 55
"1297" "North American Journal of Aquaculture" "B2" 43 "B1" 55
"1298" "Notornis" "B2" 13 "B3" 55
"1299" "Nova Hedwigia" "B2" 52 "A4" 55
"1300" "Novon" "B2" 29 "B2" 55
"1301" "Nutricion Hospitalaria" "B2" 35 "B2" 55
"1302" "Nutrient Cycling in Agroecosystems" "B2" 87 "A2" 55
"1303" "Nutrition and Cancer" "B2" 66 "A3" 55
"1304" "Nutritional Neuroscience" "B2" 73 "A3" 55
"1305" "Ocean Engineering" "B2" 95 "A1" 55
"1306" "Odonatologica" "B2" 42 "B1" 55
"1307" "Oncology Reports" "B2" 66 "A3" 55
"1308" "Ornitologia Neotropical" "B2" 17 "B3" 55
"1309" "Oxidative Medicine and Cellular Longevity" "B2" 86 "A2" 55
"1310" "Pakistan Journal of Botany" "B2" 40 "B1" 55
"1311" "Palaeobiodiversity and Palaeoenvironments" "B2" 57 "A4" 55
"1312" "Palaontologische Zeitschrift" "B2" 51 "A4" 55
"1313" "Palynology" "B2" 47 "B1" 55
"1314" "Pan-Pacific Entomologist" "B2" 11 "B4" 55
"1315" "Papeis Avulsos de Zoologia" "B2" 38 "B1" 55
"1316" "Parasite" "B2" 94 "A1" 55
"1317" "Parkinson's Disease" "B2" 68 "A3" 55
"1318" "Pathogens and Global Health" "B2" 75 "A3" 55
"1319" "Pathology and Oncology Research" "B2" 66 "A3" 55
"1320" "Pathology Research and Practice" "B2" 64 "A3" 55
"1321" "Pathophysiology" "B2" 77 "A2" 55
"1322" "Pedosphere" "B2" 82 "A2" 55
"1323" "PeerJ" "B2" 86 "A2" 55
"1324" "Pesquisa Agropecuaria Brasileira" "B2" 41 "B1" 55
"1325" "Photochemical and Photobiological Sciences" "B2" 67 "A3" 55
"1326" "Photochemistry and Photobiology" "B2" 61 "A4" 55
"1327" "Phycological Research" "B2" 61 "A4" 55
"1328" "Physiology and Molecular Biology of Plants" "B2" 69 "A3" 55
"1329" "Physiotherapy" "B2" 85 "A2" 55
"1330" "PhytoKeys" "B2" 63 "A3" 55
"1331" "Phytoparasitica" "B2" 62 "A4" 55
"1332" "Phytopathologia Mediterranea" "B2" 83 "A2" 55
"1333" "Phytotaxa" "B2" 49 "B1" 55
"1334" "Plant Ecology and Evolution" "B2" 48 "B1" 55
"1335" "Plant Pathology Journal" "B2" 69 "A3" 55
"1336" "Plant Species Biology" "B2" 65 "A3" 55
"1337" "Plant, Soil and Environment" "B2" 58 "A4" 55
"1338" "Planta Daninha" "B2" 35 "B2" 55
"1339" "Plasmid" "B2" 33 "B2" 55
"1340" "Polish Polar Research" "B2" 57 "A4" 55
"1341" "Polymer - Plastics Technology and Engineering" "B2" 71 "A3" 55
"1342" "Proceedings of the Academy of Natural Sciences of Philadelphia" "B2" 31 "B2" 55
"1343" "Proceedings of the Entomological Society of Washington" "B2" 28 "B2" 55
"1344" "Raffles Bulletin of Zoology" "B2" 46 "B1" 55
"1345" "Rapid Communications in Mass Spectrometry" "B2" 54 "A4" 55
"1346" "Recent Patents on Nanotechnology" "B2" 73 "A3" 55
"1347" "Redox Biology" "B2" 98 "A1" 55
"1348" "Regional Environmental Change" "B2" 70 "A3" 55
"1349" "Regulatory Toxicology and Pharmacology" "B2" 87 "A2" 55
"1350" "Remote Sensing" "B2" 95 "A1" 55
"1351" "Renewable Agriculture and Food Systems" "B2" 75 "A3" 55
"1352" "Reproductive Biology" "B2" 82 "A2" 55
"1353" "Research in Microbiology" "B2" 63 "A3" 55
"1354" "Research in Science Education" "B2" 79 "A2" 55
"1355" "Respiratory Physiology and Neurobiology" "B2" 42 "B1" 55
"1356" "Reviews in Fisheries Science and Aquaculture" "B2" 98 "A1" 55
"1357" "Revista Brasileira de Botanica" "B2" 51 "A4" 55
"1358" "Revista Brasileira de Entomologia" "B2" 54 "A4" 55
"1359" "Revista Chilena de Historia Natural" "B2" 64 "A3" 55
"1360" "Revista de Biologia Marina y Oceanografia" "B2" 16 "B3" 55
"1361" "Revista de Saude Publica" "B2" 67 "A3" 55
"1362" "Revista do Instituto de Medicina Tropical de Sao Paulo" "B2" 39 "B1" 55
"1363" "Revista Iberoamericana de Micologia" "B2" 31 "B2" 55
"1364" "Revue Suisse de Zoologie" "B2" 33 "B2" 55
"1365" "Scanning" "B2" 49 "B1" 55
"1366" "Science and Education" "B2" 73 "A3" 55
"1367" "Scientia Agricola" "B2" 79 "A2" 55
"1368" "Seed Science and Technology" "B2" 34 "B2" 55
"1369" "Sexual Development" "B2" 67 "A3" 55
"1370" "Sociobiology" "B2" 41 "B1" 55
"1371" "South African Journal of Botany" "B2" 66 "A3" 55
"1372" "South American Journal of Herpetology" "B2" 60 "A4" 55
"1373" "Southern Forests" "B2" 65 "A3" 55
"1374" "Spixiana" "B2" 21 "B3" 55
"1375" "Stem Cell Reviews and Reports" "B2" 80 "A2" 55
"1376" "Steroids" "B2" 67 "A3" 55
"1377" "Studies on Neotropical Fauna and Environment" "B2" 53 "A4" 55
"1378" "Supportive Care in Cancer" "B2" 63 "A3" 55
"1379" "Supramolecular Chemistry" "B2" 49 "B1" 55
"1380" "Sustainability" "B2" 91 "A1" 55
"1381" "Sustainability Science" "B2" 98 "A1" 55
"1382" "Sydowia" "B2" 42 "B1" 55
"1383" "Systematic Parasitology" "B2" 30 "B2" 55
"1384" "The Scientific World Journal" "B2" 70 "A3" 55
"1385" "Theoretical and Experimental Plant Physiology" "B2" 71 "A3" 55
"1386" "Theoretical Biology and Medical Modelling" "B2" 58 "A4" 55
"1387" "Theriogenology" "B2" 97 "A1" 55
"1388" "Ticks and Tick-borne Diseases" "B2" 94 "A1" 55
"1389" "Toxicology Mechanisms and Methods" "B2" 58 "A4" 55
"1390" "Toxicon" "B2" 52 "A4" 55
"1391" "Toxins" "B2" 85 "A2" 55
