"titulo" "P.ISSN" "E.ISSN" "qIF"
"11860" "American Journal of Physiology - Renal Physiology" "1931857X" "" 92
"11861" "Basic Income Studies" "19320183" "" 24
"11862" "Journal of Imagery Research in Sport and Physical Activity" "19320191" "" 42
"11863" "Asian Journal of Comparative Law" "19320205" "" 27
"11864" "Capitalism and Society" "19320213" "" 92
"11865" "Biofuels, Bioproducts and Biorefining" "1932104X" "" 65
"11866" "Biomicrofluidics" "19321058" "" 75
"11867" "American journal of disaster medicine" "1932149X" "" 53
"11868" "Statistical Analysis and Data Mining" "19321872" "" 63
"11869" "Global Business and Organizational Excellence" "19322054" "" 31
"11870" "ACM Communications in Computer Algebra" "19322232" "" 6
"11871" "Anesthesiology Clinics" "19322275" "" 82
"11872" "Translation and Interpreting Studies" "19322798" "" 94
"11873" "Journal of diabetes science and technology" "19322968" "" 82
"11874" "Synthesis Lectures on Digital Circuits and Systems" "19323166" "" 16
"11875" "Integrative Psychological and Behavioral Science" "19324502" "" 94
"11876" "IEEE Nanotechnology Magazine" "19324510" "" 40
"11877" "IEEE Industrial Electronics Magazine" "19324529" "" 97
"11878" "IEEE Transactions on Network and Service Management" "19324537" "" 92
"11879" "IEEE Transactions on Biomedical Circuits and Systems" "19324545" "" 89
"11880" "IEEE Journal on Selected Topics in Signal Processing" "19324553" "" 95
"11881" "Journal of Experimental Zoology Part A: Ecological Genetics and Physiology" "19325223" "" 67
"11882" "Annals of Applied Statistics" "19326157" "" 83
"11883" "PLoS ONE" "19326203" "" 89
"11884" "Journal of Problem Solving" "19326246" "" 49
"11885" "Journal of Tissue Engineering and Regenerative Medicine" "19326254" "" 78
"11886" "International Journal of Communication" "19328036" "" 74
"11887" "Professional Case Management" "19328087" "" 58
"11888" "IEEE Systems Journal" "19328184" "" 90
"11889" "Revista Iberoamericana de Tecnologias del Aprendizaje" "19328540" "" 60
"11890" "Journal of Human Capital" "19328575" "" 91
"11891" "Journal of Tort Law" "19329148" "" 49
"11892" "Journal of Business Valuation and Economic Loss Analysis" "19329156" "" 27
"11893" "Integrated Ocean Drilling Program: Preliminary Reports" "19329423" "" 36
"11894" "International Journal of Aquatic Research and Education" "19329997" "" 22
"11895" "Early Modern Women" "19330065" "" 10
"11896" "Journal of the American Society of Hypertension" "19331711" "" 61
"11897" "Journal of Clinical Lipidology" "19332874" "" 86
"11898" "Paper360" "19333684" "" 7
"11899" "Econ Journal Watch" "1933527X" "" 33
"11900" "Communications in Information Literacy" "19335954" "" 81
"11901" "Medical Acupuncture" "19336586" "" 27
"11902" "Reproductive Sciences" "19337191" "" 77
"11903" "Neurotherapeutics" "19337213" "" 98
"11904" "Archives of Environmental and Occupational Health" "19338244" "" 49
"11905" "Fire Ecology" "19339747" "" 83
"11906" "PM and R" "19341482" "" 69
"11907" "Jung Journal: Culture and Psyche" "19342039" "" 37
"11908" "Journal of Nanophotonics" "19342608" "" 46
"11909" "Global Jurist" "19342640" "" 31
"11910" "Chemical Product and Process Modeling" "19342659" "" 39
"11911" "Journal of Global Drug Policy and Practice" "19344708" "" 0
"11912" "Journal of the Botanical Research Institute of Texas" "19345259" "" 11
"11913" "International Journal of Multicultural Education" "19345267" "" 89
"11914" "Language Documentation and Conservation" "19345275" "" 73
"11915" "Cell Stem Cell" "19345909" "" 99
"11916" "Journal of Cardiovascular Computed Tomography" "19345925" "" 82
"11917" "International Journal of Organizational Analysis" "19348835" "" 52
"11918" "Applied Mathematics and Information Sciences" "19350090" "" 32
"11919" "Clinical Schizophrenia and Related Psychoses" "19351232" "" 42
"11920" "B.E. Journal of Economic Analysis and Policy" "19351682" "" 38
"11921" "B.E. Journal of Macroeconomics" "19351690" "" 36
"11922" "B.E. Journal of Theoretical Economics" "19351704" "" 23
"11923" "Himalaya" "19352212" "" 24
"11924" "Synthesis Lectures on Computer Architecture" "19353235" "" 21
"11925" "Swarm Intelligence" "19353812" "" 79
"11926" "Synthesis Lectures on Communication Networks" "19354185" "" 57
"11927" "Genetic Engineering and Biotechnology News" "1935472X" "" 2
"11928" "Journal of Latin American and Caribbean Anthropology" "19354932" "" 77
"11929" "Arboriculture and Urban Forestry" "19355297" "" 54
"11930" "International Journal of Information Systems and Supply Chain Management" "19355726" "" 43
"11931" "Architect" "19357001" "" 18
"11932" "Statistics Surveys" "19357516" "" 72
"11933" "Electronic Journal of Statistics" "19357524" "" 60
"11934" "Foundations and Trends in Machine Learning" "19358237" "" 99
"11935" "Brain Stimulation" "1935861X" "" 94
"11936" "Electronic Research Announcements in Mathematical Sciences" "19359179" "" 20
"11937" "Current Reviews in Musculoskeletal Medicine" "19359748" "" 87
"11938" "Anatomical Sciences Education" "19359772" "" 96
"11939" "Annual Review of Biophysics" "1936122X" "" 99
"11940" "Current Issues in Auditing" "19361270" "" 18
"11941" "Journal of LGBT Youth" "19361653" "" 81
"11942" "Journal of Data and Information Quality" "19361955" "" 69
"11943" "SIAM Journal on Imaging Sciences" "19364954" "" 97
"11944" "Translational Oncology" "19365233" "" 72
"11945" "Chemosensory Perception" "19365802" "" 21
"11946" "Disability and Health Journal" "19366574" "" 64
"11947" "ACM Transactions on Accessible Computing" "19367228" "" 71
"11948" "Journal of Applied Social Science" "19367244" "" 46
"11949" "JACC: Cardiovascular Imaging" "1936878X" "" 94
"11950" "JACC: Cardiovascular Interventions" "19368798" "" 87
"11951" "Algebra and Number Theory" "19370652" "" 66
"11952" "Discrete and Continuous Dynamical Systems - Series S" "19371632" "" 39
"11953" "IEEE Reviews in Biomedical Engineering" "19373333" "" 92
"11954" "Tissue Engineering - Part A." "19373341" "" 75
"11955" "Tissue Engineering - Part B: Reviews" "19373368" "" 94
"11956" "Tissue Engineering - Part C: Methods" "19373384" "" 74
"11957" "HERD" "19375867" "" 56
"11958" "International Review of Cell and Molecular Biology" "19376448" "" 83
"11959" "Progress In Electromagnetics Research B" "19376472" "" 49
"11960" "Progress In Electromagnetics Research Letters" "19376480" "" 29
"11961" "African Geographical Review" "19376812" "" 67
"11962" "North American Fungi" "1937786X" "" 33
"11963" "Internet Journal of Microbiology" "19378289" "" 1
"11964" "Engineering Studies" "19378629" "" 76
"11965" "Pan African Medical Journal" "19378688" "" 44
"11966" "Progress In Electromagnetics Research C" "19378718" "" 36
"11967" "Progress In Electromagnetics Research M" "19378726" "" 24
"11968" "Science Signaling" "19379145" "" 46
"11969" "University of Pennsylvania Journal of International Law" "19380283" "" 52
"11970" "Molecular and Cellular Pharmacology" "19381247" "" 49
"11971" "Law and Ethics of Human Rights" "19382545" "" 25
"11972" "Journal of the Professional Association for Cactus Development" "1938663X" "" 23
"11973" "Journal of Transport and Land Use" "19387849" "" 89
"11974" "Journal of Information Technology Research" "19387857" "" 24
"11975" "Journal of Diversity in Higher Education" "19388926" "" 82
"11976" "Cornell Hospitality Quarterly" "19389655" "" 75
"11977" "Topics in Companion Animal Medicine" "19389736" "" 50
"11978" "Wiley Interdisciplinary Reviews: Nanomedicine and Nanobiotechnology" "19390041" "" 97
"11979" "Security and Communication Networks" "19390122" "" 58
"11980" "Journal of Dietary Supplements" "19390211" "" 66
"11981" "Journal of Commutative Algebra" "19390807" "" 19
"11982" "Bioenergy Research" "19391234" "" 85
"11983" "IEEE Transactions on Services Computing" "19391374" "" 95
"11984" "IEEE Transactions on Learning Technologies" "19391382" "" 96
"11985" "IEEE Intelligent Transportation Systems Magazine" "19391390" "" 87
"11986" "IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing" "19391404" "" 84
"11987" "IEEE Transactions on Haptics" "19391412" "" 81
"11988" "Graziadio Business Report" "19391633" "" 12
"11989" "Historical Studies in the Natural Sciences" "19391811" "" 32
"11990" "International Journal of Coal Preparation and Utilization" "19392699" "" 72
"11991" "Information Security Journal" "19393555" "" 68
"11992" "World Allergy Organization Journal" "19394551" "" 92
"11993" "Synthesis Lectures on Artificial Intelligence and Machine Learning" "19394608" "" 93
"11994" "Wiley Interdisciplinary Reviews: Computational Statistics" "19395108" "" 85
"11995" "Printed Circuit Design and Fab" "19395442" "" 4
"11996" "International Journal of Clinical Dentistry" "19395833" "" 12
"11997" "Journal of Pain Management" "19395914" "" 17
"11998" "International Journal of Metalcasting" "19395981" "" 62
"11999" "International Journal of Sustainable Engineering" "19397038" "" 63
"12000" "Proceedings of Meetings on Acoustics" "1939800X" "" 18
"12001" "Journal of Signal Processing Systems" "19398018" "" 40
"12002" "Rice" "19398425" "" 92
"12003" "Journal of Medical Imaging and Radiation Sciences" "19398654" "" 16
"12004" "Journal of Transnational American Studies" "19400764" "" 33
"12005" "Tropical Conservation Science" "19400829" "" 56
"12006" "Journal of Visualized Experiments" "1940087X" "" 53
"12007" "Journal of Building Performance Simulation" "19401493" "" 96
"12008" "International Journal of Press/Politics" "19401612" "" 95
"12009" "Plant Genome" "19403372" "" 91
"12010" "NASPA Journal About Women in Higher Education" "19407882" "" 51
"12011" "Psychology of Religion and Spirituality" "19411022" "" 99
"12012" "Annual Review of Resource Economics" "19411340" "" 89
"12013" "Annual Review of Financial Economics" "19411367" "" 93
"12014" "Annual Review of Economics" "19411383" "" 96
"12015" "Advances in Engineering Education" "19411766" "" 78
"12016" "Journal of Aerosol Medicine and Pulmonary Drug Delivery" "19412711" "" 80
"12017" "Journal of Clinical and Aesthetic Dermatology" "19412789" "" 58
"12018" "Journal of Drug Policy Analysis" "19412851" "" 15
"12019" "Journal of Geometric Mechanics" "19414889" "" 48
"12020" "Professional Development in Education" "19415257" "" 77
"12021" "e-Review of Tourism Research" "19415842" "" 26
"12022" "American Journal of Case Reports" "19415923" "" 65
"12023" "Journal of Atrial Fibrillation" "19416911" "" 31
"12024" "Journal of Renewable and Sustainable Energy" "19417012" "" 46
"12025" "International Journal of Mobile and Blended Learning" "19418647" "" 61
"12026" "IEEE Women in Engineering Magazine" "1942065X" "" 0
"12027" "Communicative and Integrative Biology" "19420889" "" 75
"12028" "Journal of Advances in Modeling Earth Systems" "19422466" "" 91
"12029" "American Health and Drug Benefits" "19422962" "" 49
"12030" "ACM Transactions on Computation Theory" "19423454" "" 36
"12031" "International Journal of Mobile Human Computer Interaction" "1942390X" "" 28
"12032" "Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery" "19424787" "" 96
"12033" "Marine and Coastal Fisheries" "19425120" "" 60
"12034" "Ecopsychology" "19429347" "" 27
"12035" "Electronics and Communications in Japan" "19429533" "" 14
"12036" "Psychological Trauma: Theory, Research, Practice, and Policy" "19429681" "" 86
"12037" "Internetworking Indonesia Journal" "19429703" "" 19
"12038" "Journal of Advanced Research in Dynamical and Control Systems" "1943023X" "" 20
"12039" "Cold Spring Harbor perspectives in biology" "19430264" "" 97
"12040" "Journal of Optical Communications and Networking" "19430620" "" 81
"12041" "Journal of Radiology Case Reports" "19430922" "" 22
"12042" "Earth" "1943345X" "" 1
"12043" "Law and Development Review" "19433867" "" 60
"12044" "Journal of Manufacturing Technology Research" "19438095" "" 38
"12045" "American Journal of Translational Research" "19438141" "" 77
"12046" "South Asian Diaspora" "19438192" "" 58
"12047" "Advances in Optics and Photonics" "19438206" "" 99
"12048" "Poverty & Public Policy" "19442858" "" 23
"12049" "Standards in Genomic Sciences" "19443277" "" 27
"12050" "Journal of Fish and Wildlife Management" "1944687X" "" 55
"12051" "Environmental Progress and Sustainable Energy" "19447442" "" 70
"12052" "American Journal of Pharmacy Benefits" "19454481" "" 52
"12053" "SIAM Journal on Financial Mathematics" "1945497X" "" 72
"12054" "Journal of registry management" "19456123" "" 39
"12055" "Journal of the Dermatology Nurses' Association" "1945760X" "" 17
"12056" "Library Leadership and Management" "19458851" "" 33
"12057" "CTBUH Journal" "19461186" "" 45
"12058" "SAE International Journal of Aerospace" "19463855" "" 36
"12059" "SAE International Journal of Commercial Vehicles" "1946391X" "" 52
"12060" "SAE International Journal of Engines" "19463936" "" 80
"12061" "SAE International Journal of Fuels and Lubricants" "19463952" "" 56
"12062" "SAE International Journal of Materials and Manufacturing" "19463979" "" 43
"12063" "SAE International Journal of Passenger Cars - Mechanical Systems" "19463995" "" 54
"12064" "Maritime Affairs" "19466609" "" 33
"12065" "Mathematical and Computational Forestry and Natural-Resource Sciences" "19467664" "" 29
"12066" "International Journal of E-Health and Medical Communications" "1947315X" "" 30
"12067" "International Journal of Distributed Systems and Technologies" "19473532" "" 39
"12068" "Journal of Photonics for Energy" "19477988" "" 65
"12069" "Journal of Globalization and Development" "19481837" "" 45
"12070" "Journal of Thermal Science and Engineering Applications" "19485085" "" 63
"12071" "Biodemography and Social Biology" "19485565" "" 90
"12072" "ACS Chemical Neuroscience" "19487193" "" 79
"12073" "Contemporary Readings in Law and Social Justice" "19489137" "" 94
"12074" "Journal of Singularities" "19492006" "" 20
"12075" "Oncotarget" "19492553" "" 80
"12076" "IEEE Transactions on Sustainable Energy" "19493029" "" 94
"12077" "IEEE Transactions on Affective Computing" "19493045" "" 96
"12078" "IEEE Transactions on Smart Grid" "19493053" "" 99
"12079" "IEEE Magnetics Letters" "1949307X" "" 45
"12080" "Journal of Student Affairs Research and Practice" "19496605" "" 36
"12081" "Forum for World Literature Studies" "19498519" "" 32
"12082" "Territoire en Mouvement" "19544863" "" 14
"12083" "International Journal on Interactive Design and Manufacturing" "19552513" "" 73
"12084" "Journal of Language Contact" "19552629" "" 56
"12085" "Medecine des Maladies Metaboliques" "19572557" "" 12
"12086" "Hydroecologie Appliquee" "1958556X" "" 51
"12087" "IRBM" "19590318" "" 31
"12088" "IRBM News" "19597568" "" 6
"12089" "Knowledge and Management of Aquatic Ecosystems" "19619502" "" 55
"12090" "Revue des Musees de France" "19624271" "" 21
"12091" "Bulletin de liaison des membres de la Societe de geographie" "19648995" "" 1
"12092" "Water Alternatives" "19650175" "" 94
"12093" "Medecins - Le Magazine Ordre National Des Medecins" "19672845" "" 4
"12094" "Cahiers d'Economie Politique" "19696779" "" 47
"12095" "Oncology Reviews" "19705557" "" 83
"12096" "International Review of Mechanical Engineering" "19708734" "" 32
"12097" "Journal of Ultrasound" "19713495" "" 52
"12098" "Galilaeana" "19716052" "" 32
"12099" "IForest" "19717458" "" 70
"12100" "Sociologica" "19718853" "" 36
"12101" "Frattura ed Integrita Strutturale" "19718993" "" 43
"12102" "Journal of Infection in Developing Countries" "19722680" "" 40
"12103" "Journal of Formalized Reasoning" "19725787" "" 88
"12104" "TPM - Testing, Psychometrics, Methodology in Applied Psychology" "19726325" "" 41
"12105" "Bolletino dell Unione Matematica Italiana" "19726724" "" 45
"12106" "Etnografia e ricerca qualitativa" "19733194" "" 53
"12107" "Conservation Science in Cultural Heritage" "19739494" "" 43
"12108" "International Review on Modelling and Simulations" "19749821" "" 48
"12109" "Journal of Electrical Engineering and Technology" "19750102" "" 36
"12110" "Transactions of the Korean Institute of Electrical Engineers" "19758359" "" 9
"12111" "Journal of the Korean Medical Association" "19758456" "" 36
"12112" "Journal of Applied Biological Chemistry" "19760442" "" 11
"12113" "Asian Nursing Research" "19761317" "" 83
"12114" "Journal of Institute of Control, Robotics and Systems" "19765622" "" 20
"12115" "KSII Transactions on Internet and Information Systems" "19767277" "" 31
"12116" "Toxicological Research" "19768257" "" 70
"12117" "Animal Cells and Systems" "19768354" "" 29
"12118" "Journal of Information Processing Systems" "1976913X" "" 47
"12119" "Journal of East Asia and International Law" "19769229" "" 30
"12120" "Genes and Genomics" "19769571" "" 13
"12121" "Bulletin of Chemical Reaction Engineering and Catalysis" "19782993" "" 36
"12122" "Alea" "19800436" "" 54
"12123" "Dementia e Neuropsychologia" "19805764" "" 26
"12124" "Soils and Rocks" "19809743" "" 15
"12125" "Revista Ambiente e Agua" "1980993X" "" 35
"12126" "Nau Literaria" "19814526" "" 21
"12127" "Acta Veterinaria Brasilica" "19815484" "" 16
"12128" "Boletimdo Museu Paraense Emilio Goeldi:Ciencias Humanas" "19818122" "" 58
"12129" "Revista de Gestao Social e Ambiental" "1981982X" "" 9
"12130" "Journal of Urban and Environmental Engineering" "19823932" "" 46
"12131" "International Journal of High Dilution Research" "19826206" "" 25
"12132" "Brazilian Journal of Veterinary Pathology" "19830246" "" 16
"12133" "Historia da Historiografia" "19839928" "" 32
"12134" "Revista Virtual de Quimica" "19846835" "" 21
"12135" "Revista de Direito, Estado e Telecomunicacoes" "19849729" "" 15
"12136" "Asian Myrmecology" "19851944" "" 26
"12137" "Malaysian Family Physician" "1985207X" "" 45
"12138" "Asiatic" "19853106" "" 48
"12139" "Malaysian Construction Research Journal" "19853807" "" 26
"12140" "International Food Research Journal" "19854668" "" 39
"12141" "Defence S and T Technical Bulletin" "19856571" "" 33
"12142" "Journal of Human Sport and Exercise" "19885202" "" 35
"12143" "Journal Globalization, Competitiveness and Governability" "19887116" "" 23
"12144" "Arqueologia Iberoamericana" "19894104" "" 82
"12145" "Journal of Clinical and Experimental Dentistry" "19895488" "" 59
"12146" "Oceanide" "19896328" "" 51
"12147" "Ge-Conservacion" "19898568" "" 62
"12148" "Journal of the European Optical Society" "19902573" "" 41
"12149" "Sino-Christian Studies" "19902670" "" 17
"12150" "Biochemistry (Moscow) Supplement Series A: Membrane and Cell Biology" "19907478" "" 11
"12151" "Journal of Aeronautics, Astronautics and Aviation, Series A" "19907710" "" 17
"12152" "Russian Journal of Physical Chemistry B" "19907931" "" 13
"12153" "Journal of GeoEngineering" "19908326" "" 40
"12154" "EngineerIT" "19915047" "" 12
"12155" "Journal of Dental Sciences" "19917902" "" 39
"12156" "WSEAS Transactions on Applied and Theoretical Mechanics" "19918747" "" 23
"12157" "WSEAS Transactions on Systems and Control" "19918763" "" 10
"12158" "Geoscientific Model Development" "1991959X" "" 97
"12159" "Nurture" "19941625" "" 0
"12160" "Azerbaijan Pharmaceutical and Pharmacotherapy Journal" "19941951" "" 2
"12161" "Mathematical Biology and Bioinformatics" "19946538" "" 17
"12162" "Cardiovascular Journal of Africa" "19951892" "" 45
"12163" "Theoretical and Applied Ecology" "19954301" "" 8
"12164" "Jordan Journal of Mechanical and Industrial Engineering" "19956665" "" 47
"12165" "Jordan Journal of Pharmaceutical Sciences" "19957157" "" 32
"12166" "Asian Pacific Journal of Tropical Medicine" "19957645" "" 90
"12167" "Studia Slavica et Balcanica Petropolitana" "1995848X" "" 32
"12168" "Applied Physics" "19960948" "" 4
"12169" "Energies" "19961073" "" 91
"12170" "Jamba: Journal of Disaster Risk Studies" "19961421" "" 50
"12171" "Materials" "19961944" "" 78
"12172" "Chemistry and Chemical Technology" "19964196" "" 25
"12173" "Pakistan Journal of Medical and Health Sciences" "19967195" "" 14
"12174" "Music Scholarship" "19970854" "" 77
"12175" "Journal of Siberian Federal University - Mathematics and Physics" "19971397" "" 14
"12176" "Journal fur Gynakologische Endokrinologie" "19976690" "" 7
"12177" "Zhurnal Nevrologii i Psikhiatrii imeni S.S. Korsakova" "19977298" "" 16
"12178" "Journal of Medicine (Bangladesh)" "19979797" "" 12
"12179" "International Journal of Mechanics" "19984448" "" 44
"12180" "International Journal of Circuits, Systems and Signal Processing" "19984464" "" 18
"12181" "International Journal of Biology and Biomedical Engineering" "19984510" "" 5
"12182" "Austrian Journal of Clinical Endocrinology and Metabolism" "19987773" "" 2
"12183" "Macroheterocycles" "19989539" "" 24
"12184" "Algorithms" "19994893" "" 61
"12185" "Forests" "19994907" "" 85
"12186" "Viruses" "19994915" "" 89
"12187" "Pharmaceutics" "19994923" "" 92
"12188" "Journal of Nepal Health Research Council" "19996217" "" 54
"12189" "Journal of Camelid Science" "19998732" "" 27
"12190" "Opuscula" "20000898" "" 67
"12191" "Journal of Oral Microbiology" "20002297" "" 96
"12192" "Journal of Aesthetics and Culture" "20004214" "" 91
"12193" "Diabetic Foot and Ankle" "2000625X" "" 91
"12194" "European Journal for Research on the Education and Learning of Adults" "20007426" "" 48
"12195" "Journal of Intelligence Studies in Business" "2001015X" "" 30
"12196" "JAMS Journal of Acupuncture and Meridian Studies" "20052901" "" 57
"12197" "Journal of Korean Academy of Nursing" "20053673" "" 44
"12198" "International Journal of Control and Automation" "20054297" "" 9
"12199" "Membrane Water Treatment" "20058624" "" 53
"12200" "Toxicology and Environmental Health Sciences" "20059752" "" 19
"12201" "African Journal of Infectious Diseases" "20060165" "" 21
"12202" "Revista Mexicana De Ciencias Pecuarias" "20071124" "" 41
"12203" "Problema" "20074387" "" 1
"12204" "Journal of Medical Ethics and History of Medicine" "20080387" "" 94
"12205" "Basic and Clinical Neuroscience" "2008126X" "" 41
"12206" "Analytical and Bioanalytical Electrochemistry" "20084226" "" 40
"12207" "World Scientific Series on Asia-Pacific Weather and Climate" "20102763" "" 23
"12208" "Theologica Xaveriana" "2011219X" "" 51
"12209" "Mutatis Mutandis" "2011799X" "" 27
"12210" "IWMI Working Papers" "20125763" "" 35
"12211" "Journal of Accessibility and Design for All" "20137087" "" 42
"12212" "Digital Education Review" "20139144" "" 56
"12213" "HSE Social and Education History" "20143567" "" 79
"12214" "ACDI Anuario Colombiano de Derecho Internacional" "20271131" "" 25
"12215" "Mediterranean Journal of Chemistry" "20283997" "" 37
"12216" "Baltic Journal of Law and Politics" "20290454" "" 44
"12217" "Journal of Security and Sustainability Issues" "20297025" "" 74
"12218" "Journal of Writing Research" "20301006" "" 99
"12219" "World Electric Vehicle Journal" "20326653" "" 8
"12220" "Rivista Italiana di Medicina dell'Adolescenza" "20350678" "" 3
"12221" "Mediterranean Journal of Hematology and Infectious Diseases" "20353006" "" 49
"12222" "Life Span and Disability" "20355963" "" 43
"12223" "Dolomites Research Notes on Approximation" "20356803" "" 75
"12224" "Altre Modernita" "20357680" "" 57
"12225" "Rendiconti Online Societa Geologica Italiana" "20358008" "" 27
"12226" "Confluenze" "20360967" "" 15
"12227" "Valori e Valutazioni" "20362404" "" 94
"12228" "Rare Tumors" "20363605" "" 21
"12229" "Modeling, Simulation and Applications" "20375255" "" 4
"12230" "Updates in Surgery" "2038131X" "" 80
"12231" "Italian Journal of Agrometeorology" "20385625" "" 56
"12232" "UNITEXT - La Matematica per il 3 piu 2" "20385722" "" 0
"12233" "Quaderni ACP" "20391374" "" 7
"12234" "International Journal on Communications Antenna and Propagation" "20395086" "" 75
"12235" "European Journal of Post-Classical Archaeologies" "20397895" "" 31
"12236" "Journal of Water and Climate Change" "20402244" "" 47
"12237" "Journal of Healthcare Engineering" "20402295" "" 71
"12238" "Journal of Structural Fire Engineering" "20402317" "" 39
"12239" "Molecular Autism" "20402392" "" 97
"12240" "Digital TV Europe" "2040266X" "" 10
"12241" "Nanoscale" "20403364" "" 91
"12242" "International Journal of Lean Six Sigma" "20404174" "" 91
"12243" "Comprehensive Physiology" "20404603" "" 95
"12244" "Applied Economic Perspectives and Policy" "20405790" "" 80
"12245" "Journal of Research in Interactive Marketing" "20407122" "" 76
"12246" "Contemporary Issues in Entrepreneurship Research" "20407254" "" 15
"12247" "Community, Environment and Disaster Risk Management" "20407262" "" 35
"12248" "International Journal for Numerical Methods in Biomedical Engineering" "20407939" "" 87
"12249" "Sustainability Accounting, Management and Policy Journal" "20408021" "" 89
"12250" "Management Research Review" "20408269" "" 76
"12251" "Molecular Oral Microbiology" "20411006" "" 91
"12252" "Nature Communications" "20411723" "" 97
"12253" "Methods in Ecology and Evolution" "2041210X" "" 98
"12254" "RSC Theoretical and Computational Chemistry Series" "20413181" "" 11
"12255" "RSC Drug Discovery Series" "20413203" "" 12
"12256" "International Journal of Protective Structures" "20414196" "" 63
"12257" "Cell Death and Disease" "20414889" "" 88
"12258" "i-Perception" "20416695" "" 54
"12259" "EvoDevo" "20419139" "" 79
"12260" "Genome Integrity" "20419414" "" 23
"12261" "Pathology Research International" "2042003X" "" 52
"12262" "Therapeutic Advances in Drug Safety" "20420986" "" 73
"12263" "Bridging Tourism Theory and Practice" "20421443" "" 27
"12264" "Clean Air and Containment Review" "20423268" "" 5
"12265" "Higher Education, Skills and Work-based Learning" "20423896" "" 52
"12266" "Journal on European History of Law" "20426402" "" 21
"12267" "Journal of Social Marketing" "20426763" "" 61
"12268" "Journal of Water Sanitation and Hygiene for Development" "20439083" "" 54
"12269" "RSC Energy and Environment Series" "20440774" "" 19
"12270" "Built Environment Project and Asset Management" "2044124X" "" 61
"12271" "New Developments in NMR" "20442548" "" 18
"12272" "Skeletal Muscle" "20445040" "" 96
"12273" "Blood Cancer Journal" "20445385" "" 89
"12274" "BMJ Quality and Safety" "20445415" "" 98
"12275" "BMJ Open" "20446055" "" 94
"12276" "Computational and Experimental Methods in Structures" "20449283" "" 17
"12277" "Transport and Sustainability" "2044995X" "" 22
"12278" "CNS oncology" "20450915" "" 87
"12279" "Scientific Reports" "20452322" "" 93
"12280" "Cell and Bioscience" "20453701" "" 76
"12281" "Israel Journal of Health Policy Research" "20454015" "" 41
"12282" "Toxicology Research" "2045452X" "" 45
"12283" "European Oncology and Haematology" "20455275" "" 11
"12284" "RSC Metallobiology" "2045547X" "" 35
"12285" "Chiropractic and Manual Therapies" "2045709X" "" 83
"12286" "New Developments in Mass Spectrometry" "20457545" "" 3
"12287" "Ecology and Evolution" "20457758" "" 82
"12288" "Fluids and Barriers of the CNS" "20458118" "" 86
"12289" "Vascular Cell" "2045824X" "" 80
"12290" "MicrobiologyOpen" "20458827" "" 61
"12291" "RSC Smart Materials" "20460066" "" 19
"12292" "F1000Research" "20461402" "" 81
"12293" "BMC Biophysics" "20461682" "" 48
"12294" "RSC Advances" "20462069" "" 81
"12295" "Systematic Reviews" "20464053" "" 86
"12296" "Pharmaceutical patent analyst" "20468962" "" 61
"12297" "European Journal of Training and Development" "20469012" "" 67
"12298" "Citizenship, Social and Economics Education" "20471734" "" 39
"12299" "International journal of nursing knowledge" "20473087" "" 75
"12300" "Pediatric obesity" "20476310" "" 96
"12301" "Journal of software: Evolution and Process" "20477481" "" 53
"12302" "Journal of the American Heart Association" "20479980" "" 93
"12303" "Literacy Research, Practice and Evaluation" "20480466" "" 10
"12304" "IHS Jane's Defence Weekly" "20483430" "" 1
"12305" "Journal of the Pediatric Infectious Diseases Society" "20487207" "" 71
"12306" "RSC Soft Matter" "20487681" "" 26
"12307" "HAU: Journal of Ethnographic Theory" "20491115" "" 85
"12308" "ONdrugDelivery" "2049145X" "" 15
"12309" "Pathogens and Disease" "2049632X" "" 60
"12310" "International Journal of Intelligent Unmanned Systems" "20496435" "" 63
"12311" "American Journal of Cultural Sociology" "20497121" "" 75
"12312" "eLife" "2050084X" "" 92
"12313" "Sexual Medicine" "20501161" "" 68
"12314" "Primary dental journal" "20501684" "" 31
"12315" "Journal of Eating Disorders" "20502974" "" 78
"12316" "Speech, Language and Hearing" "20505728" "" 72
"12317" "BMC pharmacology & toxicology" "20506511" "" 65
"12318" "Journal of Materials Chemistry A" "20507488" "" 96
"12319" "Journal of Materials Chemistry B" "20507518" "" 89
"12320" "Journal of Materials Chemistry C" "20507534" "" 95
"12321" "Journal of Intellectual Disabilities and Offending Behaviour" "20508824" "" 34
"12322" "Law and Economics Yearly Review" "20509014" "" 26
"12323" "Journal for ImmunoTherapy of Cancer" "20511426" "" 97
"12324" "Advances in Sustainability and Environmental Justice" "20515030" "" 9
"12325" "BMC Sports Science, Medicine and Rehabilitation" "20521847" "" 77
"12326" "RSC Detection Science" "20523068" "" 16
"12327" "Journal of Pharmaceutical Policy and Practice" "20523211" "" 68
"12328" "Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials" "20525206" "" 94
"12329" "Veterinary Record Case Reports" "20526121" "" 12
"12330" "Open Heart" "20533624" "" 75
"12331" "Nature Plants" "2055026X" "" 98
"12332" "npj Primary Care Respiratory Medicine" "20551010" "" 80
"12333" "eMagRes" "20556101" "" 25
"12334" "Journal of Service Theory and Practice" "20556225" "" 84
"12335" "BMJ Open Sport and Exercise Medicine" "20557647" "" 62
"12336" "Youth Voice Journal" "20562969" "" 15
